id;name;example;description;processor_iterface;impl_type;param_01;param_02;source;signer_name;signature;signature_content_type
1;Home port Applications;true;Strategist;BeforeSendToDevice;JavaScript;Plain;protocol Borders Planner;../fake-data/blob/hipster.txt;card;../fake-data/blob/hipster.png;image/png
2;functionalities Island;true;pricing SAS;AfterRecivedFromDevice;GroovyScript;Martin Product Function-based;Chair;../fake-data/blob/hipster.txt;New Idaho synthesize;../fake-data/blob/hipster.png;image/png
3;superstructure;true;integrated;AfterRecivedFromDevice;Blockly;index Managed Hat;Investor;../fake-data/blob/hipster.txt;Nevada;../fake-data/blob/hipster.png;image/png
4;Handcrafted;true;strategic;OnExternalAPICall;GroovyScript;black;Realigned;../fake-data/blob/hipster.txt;Group transmitter Producer;../fake-data/blob/hipster.png;image/png
5;up;true;Wells Illinois;OnMessageSendError;Blockly;up Salad;application Small calculate;../fake-data/blob/hipster.txt;Metrics;../fake-data/blob/hipster.png;image/png
6;Avon;true;Nevada;OnMessageTimeout;Blockly;Supervisor Garden up;Somoni paradigms;../fake-data/blob/hipster.txt;Soap Massachusetts Florida;../fake-data/blob/hipster.png;image/png
7;Quality back-end;true;explicit;OnMessageTimeout;GroovyScript;Mouse;Concrete Flat networks;../fake-data/blob/hipster.txt;violet;../fake-data/blob/hipster.png;image/png
8;Centralized Rustic Bike;true;unleash SCSI;AfterRecivedFromDevice;JavaCall;Car;sensor;../fake-data/blob/hipster.txt;payment Rubber;../fake-data/blob/hipster.png;image/png
9;orange Table withdrawal;false;up Franc Corporate;OnExternalAPICall;JavaScript;innovative override;cross-platform global;../fake-data/blob/hipster.txt;mission-critical orchid Indiana;../fake-data/blob/hipster.png;image/png
10;Jersey red;true;primary port Operations;OnExternalAPICall;JavaCall;Security;Liaison;../fake-data/blob/hipster.txt;orchid Alley;../fake-data/blob/hipster.png;image/png
