id;type_code;dev_to_srv;name;description;timeout;retention_time;index_field_name_01;index_field_name_02;index_field_name_03;index_field_name_04;read_auth_pattern;write_auth_pattern
1;33652;false;Cliff;Steel Up-sized program;8168;30351;e-markets;benchmark PNG Face;Rubber revolutionize SQL;Assistant;THX Loan Diverse;Computers Cambridgeshire
2;67279;true;online;deposit multi-byte;17954;4959;paradigms Cambridgeshire Fantastic;Sports open-source quantify;orange AGP;parsing Senegal Unbranded;back-end service-desk monitor;Circles Table deposit
3;47639;false;deposit;Hat;74450;99274;e-markets Plastic;systems Concrete;Somali hacking neural;Shoes auxiliary silver;Intelligent 9(E.U.A.-9);Bedfordshire Hat capacity
4;88546;false;Soft;Chad;24178;99366;AI;virtual;Handcrafted value-added;to Centralized bypass;driver connect Steel;Jewelery
5;88757;false;interface bandwidth-monitored;Frozen JBOD alarm;78714;90647;synthesize copy;Manor monetize;Designer Islands;e-enable Account Profit-focused;AGP;Cambridgeshire
6;59099;false;black Representative Concrete;Salad Vermont Optimization;18058;16053;Stravenue Executive;empower;aggregate connecting;niches Frozen Usability;Azerbaijanian maximize;programming Toys
7;97482;true;open-source tan;Nebraska;54764;37349;AGP synergies;Tuvalu violet hack;Supervisor Vermont Automotive;gold Norway Steel;Idaho;strategy indexing Account
8;11518;true;transmitting Camp Concrete;recontextualize metrics;45636;93988;Borders;Rustic Metal uniform;circuit;invoice card;Health;product
9;74204;true;Brand Networked Borders;experiences;73189;55354;Hat;Mouse Producer;Chair;silver Operations;pixel e-business parse;Ghana Devolved
10;53830;true;system Liaison circuit;PNG;21105;70461;Principal withdrawal 1080p;Pula Burundi multimedia;Throughway;software withdrawal;generating;Glens end-to-end
