id;key_id;algorithm;public_key;public_key_content_type;private_key_descriptor;attestation_data;attestation_data_content_type;associated_cert;associated_cert_content_type;certificate_request;certificate_request_content_type;cert_subject_dn;cert_issuer_dn;cert_serial;cert_not_before;cert_not_after;cert_revoked
1;Mountain Metal;RSA2048;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Manat (Slovak;Health bandwidth;Steel grow;2021-05-20T16:49:33;2021-05-21T05:49:14;2021-05-21T11:03:52
2;pink clicks-and-mortar Directives;RSA2048;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Down-sized;Sleek Consultant;Music Flat;2021-05-21T14:51:26;2021-05-21T15:24:36;2021-05-20T19:40:19
3;turquoise International;RSA1024;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;3rd;Bedfordshire;capacitor Loan Refined;2021-05-21T11:04:57;2021-05-21T14:07:57;2021-05-21T05:00:15
4;Investor;RSA2048;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Fish turn-key New;Fish Account;ivory;2021-05-20T22:08:38;2021-05-21T14:22:10;2021-05-20T16:17:01
5;bypass Soap driver;RSA3072;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Usability Lari;synthesizing Keyboard;grey;2021-05-20T18:35:50;2021-05-21T13:07:54;2021-05-21T05:33:46
6;Security;RSA1024;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Marketing;Small Table violet;programming;2021-05-20T16:43:43;2021-05-20T20:51:35;2021-05-21T05:44:29
7;turquoise Total Car;RSA1024;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Integrated violet;Director coherent Generic;Card orange Principal;2021-05-20T16:08:29;2021-05-21T04:17:43;2021-05-20T18:39:01
8;frictionless Fresh;RSA3072;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Monetary;Lesotho;Berkshire;2021-05-20T20:33:37;2021-05-21T08:48:15;2021-05-21T01:32:21
9;Account;P256;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Shoes;drive Guinea-Bissau;deposit orange;2021-05-21T01:54:43;2021-05-21T04:52:26;2021-05-21T07:03:33
10;best-of-breed invoice;RSA3072;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Awesome transmit Home;Car;Sleek;2021-05-21T04:07:52;2021-05-21T10:56:43;2021-05-20T21:09:55
