id;name;description;read_auth_pattern;write_auth_pattern
1;Chief;quantifying encryption Moldovan;Director;Haven De-engineered Grass-roots
2;PNG;Central;ivory;payment Direct Infrastructure
3;paradigms deliver B2B;microchip Corporate;benchmark Strategist override;technologies Programmable Team-oriented
4;application Health purple;partnerships Interactions navigate;web-readiness global;Direct
5;Rustic calculating deposit;deposit Optimized Iranian;structure target Ramp;Future
6;violet;Central convergence;pixel Lights Functionality;Honduras payment Portugal
7;transmitting;protocol Aruban;fuchsia China;Liaison UIC-Franc
8;Plastic New;Associate;support Balanced Springs;Tunisia Cambridgeshire Handcrafted
9;Borders Arizona;cyan;e-commerce Handcrafted Parks;withdrawal
10;radical Concrete Handcrafted;Gloves;line compelling Walks;Common
