id;server_time;device_time;raw_message_sha_256;raw_message;raw_message_content_type;decrypted_payload;dev_to_srv;index_field_value_01;index_field_value_02;index_field_value_03;index_field_value_04;processing_error;type_id;device_id
1;2021-05-21T06:07:06;2021-05-20T17:00:30;Cove;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;true;Borders violet feed;Pound Cheese SCSI;primary Fish;Fresh;../fake-data/blob/hipster.txt;1;1
2;2021-05-21T01:47:21;2021-05-21T09:20:15;card (Malvinas);../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;false;Direct Implementation Nakfa;Outdoors Brand Creative;indigo Virginia;Avon Regional Nebraska;../fake-data/blob/hipster.txt;2;2
3;2021-05-21T13:44:19;2021-05-21T13:24:15;virtual;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;true;Bedfordshire uniform;Checking;initiatives pixel hacking;cross-media Rustic;../fake-data/blob/hipster.txt;3;3
4;2021-05-20T22:21:33;2021-05-21T00:52:48;relationships;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;false;Public-key;Nebraska Generic brand;Intelligent Towels;Litas monetize Extended;../fake-data/blob/hipster.txt;4;4
5;2021-05-21T00:26:50;2021-05-21T02:49:49;Kids;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;false;Peso Facilitator;white Sausages;indexing quantify hybrid;Arab Administrator 1080p;../fake-data/blob/hipster.txt;5;5
6;2021-05-20T19:27:51;2021-05-21T14:42:01;integrated ivory Profit-focused;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;false;support generating;model;Tools Security Interactions;Afghanistan invoice brand;../fake-data/blob/hipster.txt;6;6
7;2021-05-20T17:35:40;2021-05-21T14:46:45;turquoise;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;true;Generic cross-platform;Intelligent Frozen navigate;standardization;internet;../fake-data/blob/hipster.txt;7;7
8;2021-05-21T04:51:41;2021-05-21T10:33:52;XML;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;false;SQL;gold experiences;Cotton;Interactions Account;../fake-data/blob/hipster.txt;8;8
9;2021-05-21T04:15:37;2021-05-21T06:26:36;transform;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;true;sticky Berkshire Metal;initiative Jersey;hack vertical;portals yellow Czech;../fake-data/blob/hipster.txt;9;9
10;2021-05-21T09:58:05;2021-05-21T09:43:31;Mobility;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;true;connecting Principal Creative;cross-media;Small;compelling e-enable;../fake-data/blob/hipster.txt;10;10
