id;name;description;state_field_name_01;state_field_name_02;state_field_name_03;state_field_name_04;read_auth_pattern;write_auth_pattern
1;Jewelery;Tanzania methodology Garden;brand Toys indexing;Agent backing THX;orange Tools;Unbranded Central Loan;copying invoice;incubate magnetic Sleek
2;schemas Rial Branding;Guyana;Rubber;Plastic bypass Mississippi;Distributed asynchronous Small;Metal Marketing;hack;invoice
3;ROI sensor Representative;microchip;product Ball;composite Light deposit;York Washington;enhance leverage;Beauty;Awesome extend
4;Vista;cutting-edge port withdrawal;state Mexico Ohio;Alabama;Switchable Louisiana;Convertible;Principal;technologies
5;primary;groupware open-source;Bermudian Avon quantify;Internal;supply-chains unleash;engine Games enhance;Infrastructure Loan payment;Account
6;system;Route;Dollar Granite Table;ADP;Springs;services leverage Riyal;Ocean Mouse;Plastic Automotive bi-directional
7;microchip CSS;generating;Credit;Bedfordshire efficient Corporate;copying;Inverse red Steel;deposit access;Belize
8;implement copy Fantastic;blue;benchmark Escudo;process;Rubber;Specialist;reinvent 4th Berkshire;Passage
9;Martinique streamline;Avon Concrete;Euro Graphical;auxiliary Sports Plastic;withdrawal Mews Program;technologies;Minnesota alarm;monitor Metal
10;Concrete visualize challenge;Right-sized incubate Auto;Poland Connecticut;engineer mindshare online;benchmark;index user-facing;Mississippi Account;Tactics
